;Title;Author;Type;Venue;Year;;;
;Learning in Open Adaptive Networks;G. Yang and V. Danos;;SASO;2016;;;
;Self-Adaptation to Device Distribution Changes;J. Beal, M. Viroli, D. Pianini and F. Damiani;;SASO;2016;;;
;On the Importance of Spatial Perception for the Design of Adaptive User Interfaces;T. Deuschel and T. Scully;;SASO;2016;;;
;Distributed Distributive Justice;D. B. Kurka and J. Pitt;;SASO;2016;;;
;Inter-institutional Social Capital for Self-Organising 'Nested Enterprises';P. E. Petruzzi, J. Pitt and D. Busquets;;SASO;2016;;;
;Goal-Oriented Holonics for Complex System (Self-)Integration: Concepts and Case Studies;A. Diaconescu, S. Frey, C. Müller-Schloer, J. Pitt and S. Tomforde;;SASO;2016;;;
;Self-Optimising Decentralised Service Placement in Heterogeneous Cloud Federation;E. Carlini, M. Coppola, P. Dazzi, M. Mordacchini and A. Passarella;;SASO;2016;;;
;Self-Organized Graph-Based Resource Allocation;G. Anders and P. Lehner;;SASO;2016;;;
;Hybrid Planning for Decision Making in Self-Adaptive Systems;A. Pandey, G. A. Moreno, J. Cámara and D. Garlan;;SASO;2016;;;
;Evaluating Connection Resilience for Self-Organizing Cyber-Physical Systems;H. Heck, O. Kieselmann and A. Wacker;;SASO;2016;;;
;Towards Linking Adaptation Rules to the Utility Function for Dynamic Architectures;S. Ghahremani, H. Giese and T. Vogel;;SASO;2016;;;
;One Swarm per Queen: A Particle Swarm Learning for Stochastic Games;A. Tcheukam and H. Tembine;;SASO;2016;;;
;Decentralized Cluster Detection in Distributed Systems Based on Self-Organized Synchronization;V. Singh, M. Esch and I. Scholtes;;SASO;2016;;;
;Interaction-Awareness for Self-Adaptive Volunteer Computing;A. Elhabbash, R. Bahsoon and P. Tino;;SASO;2016;;;
;Ensemble Time Series Forecasting with XCSF;M. Sommer, A. Stein and J. Hähner;;SASO;2016;;;
;An Approach to Robust Resource Allocation in Large-Scale Systems of Systems;O. Kosak, G. Anders, F. Siefert and W. Reif;;SASO;2015;;;
;Multi-satellite Mission Planning Using a Self-Adaptive Multi-agent System;J. Bonnet, M. -P. Gleizes, E. Kaddoum, S. Rainjonneau and G. Flandin;;SASO;2015;;;
;A Generic Social Capital Framework for Optimising Self-Organised Collective Action;P. E. Petruzzi, D. Busquets and J. Pitt;;SASO;2015;;;
;Peer Matcher: Decentralized Partnership Formation;N. V. Bozdog, S. Voulgaris, H. Bal and A. Van Halteren;;SASO;2015;;;
;Self-Organising Zooms for Decentralised Redundancy Management in Visual Sensor Networks;L. Esterle, B. Rinner and P. R. Lewis;;SASO;2015;;;
;Active Learning for Efficient Sampling of Control Models of Collectives;A. Schiendorfer, C. Lassner, G. Anders, W. Reif and R. Lienhart;;SASO;2015;;;
;Towards Data-centric Control of Sensor Networks through Bayesian Dynamic Linear Modelling;L. Fang and S. Dobson;;SASO;2015;;;
;Distributed Current Flow Betweenness Centrality;A. Lulli, L. Ricci, E. Carlini and P. Dazzi;;SASO;2015;;;
;Efficient Engineering of Complex Self-Organising Systems by Self-Stabilising Fields;M. Viroli, J. Beal, F. Damiani and D. Pianini;;SASO;2015;;;
;Multi-agent Self-Organization and Reorganization to Adapt M2M Infrastructures;G. Picard, C. Persson, O. Boissier and F. Ramparany;;SASO;2015;;;
;Darwin in Smart Power Grids - Evolutionary Game Theory for Analyzing Self-Organization in Demand-Side Aggregation;K. Coninx and T. Holvoet;;SASO;2015;;;
;Distributed Recovery for Enterprise Services;S. S. Clark, J. Beal and P. Pal;;SASO;2015;;;
;Foraging-Inspired Self-Organisation for Terrain Exploration with Failure-Prone Agents,;A. Rodríguez, J. Gómez and A. Diaconescu;;SASO;2015;;;
;Combining Conflicting Environmental and Task Requirements in Evolutionary Robotics;E. Haasdijk;;SASO;2015;;;
;A Mutual Influence Detection Algorithm for Systems with Local Performance Measurement;S. Rudolph, S. Tomforde, B. Sick and J. Hähner;;SASO;2015;;;
;Self-Organizational Reciprocal Agents for Conflict Avoidance in Allocation Problems;Y. Miyashita, M. Hayano and T. Sugawara;;SASO;2015;;;
;Value-Sensitive Design of Self-Organisation;V. Dignum and F. Dignum;;SASO;2015;;;
;Social Amoeba Dictyostelium Discoideum as an Inspiration for Swarm Robotics;M. Parhizkar and G. Di Marzo Serugendo;;SASO;2015;;;
;Creating Complex Applications via Self-Adapting Autonomous Agents in an Intelligent System Framework;T. R. Fuller and G. E. Deane;;SASO;2015;;;
;Self-Directed Weight Management by Feedback from a Self-Adaptive Metabolic Health Monitoring System;Z. Ori and I. Ori;;SASO;2015;;;
;Cyber-Physical-Social System Self-Organization: Ontology-Based Multi-level Approach and Case Study;A. Smirnov, A. Kashevnik and N. Shilov;;SASO;2015;;;
;Hierarchical Service Oriented Architecture for Development of Autonomic Systems;M. J. Khan;;SASO;2015;;;
;Sustainable Safety in Mobile Multi-robot Systems via Collective Adaptation;D. Bozhinoski, I. Malavolta, A. Bucchiarone and A. Marconi;;SASO;2015;;;
;Towards a Spatial Language for Run-Time Assessments in Self-Organizing Systems;F. L. De Angelis and G. Di Marzo Serugendo;;SASO;2015;;;
;Towards Self-Adaptation on Real-World Hardware: A Preliminary Lightweight Programming Framework;H. Tsuda, H. Nakagawa and T. Tsuchiya;;SASO;2015;;;
;The Value of Fairness: Trade-offs in Repeated Dynamic Resource Allocation,;T. Kohler, J. -P. Steghöfer, D. Busquets and J. Pitt;;SASO;2014;;;
;A Hybrid Cross-Entropy Cognitive-Based Algorithm for Resource Allocation in Cloud Environments;G. F. Anastasi, P. Cassarà, P. Dazzi, A. Gotta, M. Mordacchini and A. Passarella;;SASO;2014;;;
;Proactive Guidance for Dynamic and Cooperative Resource Allocation under Uncertainties;G. Anders, F. Siefert, M. Mair and W. Reif;;SASO;2014;;;
;Topological Aspects of Greedy Self-Organization;F. Ahmed and O. Tirkkonen;;SASO;2014;;;
;Artificial Immune System Driven Evolution in Swarm Chemistry;N. Capodieci, E. Hart and G. Cabri;;SASO;2014;;;
;Growing Self-Organized Design of Efficient and Robust Complex Networks;Y. Hayashi;;SASO;2014;;;
;Towards Decentralised Detection of Emergence in Complex Adaptive Systems;E. O'Toole, V. Nallur and S. Clarke;;SASO;2014;;;
;Self-Governance by Transfiguration: From Learning to Prescription Changes;R. RIveret, A. Artikis, J. Pitt and E. G. Nepomuceno;;SASO;2014;;;
;A Graph Analysis Approach to Detect Attacks in Multi-agent Systems at Runtime;J. Kantert, H. Scharf, S. Edenhofer, S. Tomforde, J. Hähner and C. Müller-Schloer;;SASO;2014;;;
;Sybil-Resistant Meta Strategies for the Forwarder's Dilemma;Y. Durmus, A. Loukas, E. Onur and K. Langendoen;;SASO;2014;;;
;Estimating p-Values for Deviation Detection,;T. Rögnvaldsson, H. Norrman, S. Byttner and E. Järpe;;SASO;2014;;;
;Providing Assurances for Self-Adaptation in a Mobile Digital Storytelling Application Using ActivFORMS;D. Weyns, S. Shevtsov and S. Pllana,;;SASO;2014;;;
;Using Set-Based Heading to Improve Mobile Agent Movement;B. Prosser, N. Dawes, E. W. Fulp, A. D. McKinnon and G. A. Fink;;SASO;2014;;;
;Self-Adaptive Probabilistic Roadmap Generation for Intelligent Virtual Agents;K. Samperi, N. Bencomo and P. R. Lewis;;SASO;2014;;;
;Destabilising Conventions: Characterising the Cost;J. Marchant, N. Griffiths and M. Leeke;;SASO;2014;;;
;Social Capital as a Complexity Reduction Mechanism for Decision Making in Large Scale Open Systems;P. E. Petruzzi, D. Busquets and J. Pitt;;SASO;2014;;;
;Collective Adaptation in Process-Based Systems;A. Bucchiarone, C. A. Mezzina, M. Pistore, H. Raik and G. Valetto;;SASO;2014;;;
;Runtime Vertical Scaling of Virtualized Applications via Online Model Estimation;S. Spinner et al.;;SASO;2014;;;
;Prosumers as Aggregators in the DEZENT Context of Regenerative Power Production;U. Montanari and A. T. Siwe;;SASO;2014;;;
;A Game-Based Approach for Collective Action in Self-Organising Socio-technical Systems;A. Bourazeri and J. Pitt;;SASO;2014;;;
;A Trust- and Load-Based Self-Optimization Algorithm for Organic Computing Systems;N. Msadek, R. Kiefhaber and T. Ungerer;;SASO;2014;;;
;Plug-and-Play Hyper-heuristics: An Extended Formulation;P. Ryser-Welch and J. F. Miller;;SASO;2014;;;
;Thermodynamics-Based Strategy to Achieve Balance between Robustness and Performance for Self-Organized Network Controls;T. Iwai, D. Kominami, M. Murata and T. Yomo;;SASO;2014;;;
;Fault-Prevention in Smart Environments for Dependable Applications;E. U. Warriach, T. Ozcelebi and J. J. Lukkien;;SASO;2014;;;
;Hints on Quality Evaluation of Self-Systems;C. Raibulet;;SASO;2014;;;
;Model-Based Architecture Optimization for Self-Adaptive Networked Signal Processing Systems;C. J. Van Leeuwen, J. M. De Gier, J. A. Oliveira de Filho and Z. Papp;;SASO;2014;;;
;Visualisation of Social Capital;P. Petruzzi, D. Busquets and J. Pitt;;SASO;2014;;;
;Interactive Simulation of an Open Trusted Desktop Grid System with Visualisation in 3D;J. Kantert, S. Bödelt, S. Edenhofer, S. Tomforde, J. Hähner and C. Müller-Schloer;;SASO;2014;;;
;Dynamic Adaptation of the Traffic Management System CarDemo;A. Cordier et al.;;SASO;2014;;;
;Self-Organising and Context-Aware Data Flows;F. L. De Angelis, J. L. Fernandez-Marquez and G. Di Marzo Serugendo;;SASO;2014;;;
;Towards an Agent-Based Simulation Model for Schema Matching;H. Assoudi and H. Lounis;;SASO;2014;;;
;Social Mpower: A Serious Game for Self-Organisation in Socio-technical Systems;A. Bourazeri and J. Pitt;;SASO;2014;;;
;The ONE-SAPERE Simulator: A Prototyping Tool for Engineering Self-Organisation in Pervasive Environments;J. L. Fernandez-Marquez, F. L. De Angelis, G. Di Marzo Serugendo, G. Stevenson and G. Castelli;;SASO;2014;;;
;Towards Software Evolution for Embedded Systems Based on MAPE Loop Encapsulation;H. Nakagawa, T. Kudo, Y. Sei, Y. Tahara and A. Ohsuga;;SASO;2014;;;
;A Trust- and Cooperation-Based Solution of a Dynamic Resource Allocation Problem;G. Anders, J. Steghöfer, F. Siefert and W. Reif;;SASO;2013;;;
;Self-Adapting Coalition Formation Among Electric Vehicles in Smart Grids;G. d. O. Ramos, J. C. B. Rial and A. L. C. Bazzan;;SASO;2013;;;
;A Holonic Control Architecture for a Heterogeneous Multi-Objective Smart Micro-Grid;S. Frey, A. Diaconescu, D. Menga and I. Demeure;;SASO;2013;;;
;Regulating Concurrency in Software Transactional Memory: An Effective Model-based Approach;P. D. Sanzo, F. D. Re, D. Rughetti, B. Ciciani and F. Quaglia,;;SASO;2013;;;
;Model-based Design of Self-adapting Networked Signal Processing Systems;J. d. O. Filho, Z. Papp, R. Djapic and J. Oosteveen;;SASO;2013;;;
;JA-BE-JA: A Distributed Algorithm for Balanced Graph Partitioning;F. Rahimian, A. H. Payberah, S. Girdzijauskas, M. Jelasity and S. Haridi;;SASO;2013;;;
;A Search-Based Approach for Architectural Design of Feedback Control Concerns in Self-Adaptive Systems;S. S. Andrade and R. J. d. A. Macêdo;;SASO;2013;;;
;Simulating Self-Adaptive Component-Based Systems Using MATLAB/Simulink;C. Heinzemann, J. Rieke and W. Schäfer;;SASO;2013;;;
;Self-managing Overlays for Infrastructure-less Networks;L. Baresi, S. Guinea and P. Saeedi;;SASO;2013;;;
;Self-Organizing Time Synchronization of Wireless Sensor Networks with Adaptive Value Trackers;Ö. Gürcan and K. S. Yildirim;;SASO;2013;;;
;Constraint-Based Autonomic Reconfiguration;J. A. Hewson, P. Anderson and A. D. Gordon;;SASO;2013;;;
;Toward an Automatic, Online Behavioral Malware Classification System;R. Canzanese, M. Kam and S. Mancoridis;;SASO;2013;;;
;An Advisor Concept for Distributed Self-organizing Systems Acting in Highly Connected Environments;P. Grosselfinger, J. Denzinger and B. Bauer;;SASO;2013;;;
;Configuration Management for Proactive Adaptation in Pervasive Environments;S. Vansyckel, D. Schäfer, G. Schiele and C. Becker;;SASO;2013;;;
;Superdiffusive Dispersion and Mixing of Swarms with Reactive Levy Walks;J. Beal;;SASO;2013;;;
;Distributed Sequential Task Allocation in Foraging Swarms;H. Goldingay and J. v. Mourik;;SASO;2013;;;
;Tracking Time-Dependent Scalar Fields with Swarms of Mobile Sensors;J. Kirby, M. A. M. d. Oca, S. Senger, L. F. Rossi and C. -C. Shen;;SASO;2013;;;
;Modeling and Analyzing Large Swarms with Covert Leaders;Y. Sun, L. F. Rossi, H. Luan and C. Shen;;SASO;2013;;;
;A Framework for the Coordination of Multiple Autonomic Managers in Cloud Environments;F. A. d. Oliveira, T. Ledoux and R. Sharrock;;SASO;2013;;;
;Increasing Efficiency of Data-flow Based Middleware Systems by Adapting Data Generation;H. Guggi and B. Rinner;;SASO;2013;;;
;Making Mobile Users' Devices Aware of the Surrounding Physical Environment: An Approach Based on Cognitive Heuristics;M. Mordacchini, A. Passarella, M. J. Chorley, G. B. Colombo and V. Tanasescu;;SASO;2013;;;
;Learning to be Different: Heterogeneity and Efficiency in Distributed Smart Camera Networks;P. R. Lewis, L. Esterle, A. Chandra, B. Rinner and X. Yao;;SASO;2013;;;
;Meta-control for Adaptive Cybersecurity in FUZZBUSTER;D. J. Musliner, S. E. Friedman, J. M. Rye and T. Marble;;SASO;2013;;;
;A Reductionist Approach to Hypothesis-Catching for the Analysis of Self-Organizing Decision-Making Systems;H. Hamann;;SASO;2013;;;
;Adaptive Online Estimation of Temporal Connectivity in Dynamic Wireless Networks;V. Iyer, Q. Liu, S. Dulman and K. Langendoen;;SASO;2013;;;
;Lightweight Self-organizing Reconfiguration of Opportunistic Infrastructure-mode WiFi Networks;D. J. Dubois, Y. Bando, K. Watanabe and H. Holtzman;;SASO;2013;;;
;Self-Organising Services;G. D. M. Serugendo and J. L. Fernandez-Marquez;;SASO;2013;;;
;ASSISI: Charged Hot Bees Shakin' in the Spotlight;T. Schmickl et al.;;SASO;2013;;;
;Using CVL to Support Self-Adaptation of Fault-Tolerant Service Composition;A. S. Nascimento, C. M. F. Rubira and F. Castor,;;SASO;2013;;;
;FESAS: Towards a Framework for Engineering Self-Adaptive Systems;C. Krupitzer, S. Vansyckel and C. Becker;;SASO;2013;;;
;Self-synchronization of Nonidentical Machines in Machine-to-Machine Systems;I. Bojic and M. Kusek;;SASO;2013;;;
;From Self-Organizing Mechanisms to Design Patterns to Engineering Self-Organizing Applications;J. L. Fernandez-Marquez and G. D. M. Serugendo;;SASO;2013;;;
;Formal Models of Social Processes: The Pursuit of Computational Justice in Self-Organising Multi-Agent Systems;J. Pitt, D. Busquets and R. Riveret;;SASO;2013;;;
;Complex Structures and Collective Dynamics in Networked Systems: A Tutorial;I. Scholtes and M. Esch;;SASO;2013;;;
;Directional Bias and Pheromone for Discovery and Coverage on Networks;G. A. Fink, K. S. Berenhaut and C. S. Oehmen;;SASO;2012;;;
;Simulating Human Single Motor Units Using Self-Organizing Agents;Ö. Gürcan, C. Bernon, K. S. Türker, J. -P. Mano, P. Glize and O. Dikenelli;;SASO;2012;;;
;The Role of Memory in Stabilizing Swarms;J. M. Miller, L. F. Rossi, H. Luan and C. Shen;;SASO;2012;;;
;On the Influence of Inter-Agent Variation on Multi-Agent Algorithms Solving a Dynamic Task Allocation Problem under Uncertainty;G. Anders, C. Hinrichs, F. Siefert, P. Behrmann, W. Reif and M. Sonnenschein;;SASO;2012;;;
;Realizing a Proactive, Self-Optimizing System Behavior within Adaptive, Heterogeneous Many-Core Architectures;D. Kramer and W. Karl;;SASO;2012;;;
;Towards Meta-Adaptation Support with Reusable and Composable Adaptation Components;N. Gui and V. De Florio;;SASO;2012;;;
;Towards Dynamic Evolution of Self-Adaptive Systems Based on Dynamic Updating of Control Loops;H. Nakagawa, A. Ohsuga and S. Honiden;;SASO;2012;;;
;Controlling Self-Organising Software Applications with Archetypes;B. Debbabi, A. Diaconescu and P. Lalanda,;;SASO;2012;;;
;Gossip-Based Learning under Drifting Concepts in Fully Distributed Networks;I. Hegedus, R. Ormándi and M. Jelasity;;SASO;2012;;;
;An Extremum Seeking Algorithm for Message Batching in Total Order Protocols;D. Didona, D. Carnevale, S. Galeani and P. Romano;;SASO;2012;;;
;Reconfiguration Primitives for Self-Adapting Overlays in Distributed Publish-Subscribe Systems,;E. D. Nitto, D. J. Dubois and A. Margara;;SASO;2012;;;
;Bridging Interference Barriers in Self-Organized Synchronization;P. Amin, V. P. K. Ganesan and O. Tirkkonen;;SASO;2012;;;
;Self-Organising Common-Pool Resource Allocation and Canons of Distributive Justice,;J. Pitt, J. Schaumeier, D. Busquets and S. Macbeth;;SASO;2012;;;
;Optimised Reputation-Based Adaptive Punishment for Limited Observability;S. Mahmoud, D. Villatoro, J. Keppens and M. Luck;;SASO;2012;;;
;Constructing Communication Networks with Evolved Digital Organisms;D. B. Knoester and P. K. McKinley;;SASO;2012;;;
;Dealing with Bootstrapping, Maintenance, and Network Partitions and Mergers in Structured Overlay Networks;T. M. Shafaat, A. Ghodsi and S. Haridi;;SASO;2012;;;
;Can Degree Correlation Help to Design Resilient Superpeer Networks?;A. Srivastava, N. Ganguly, F. Peruani and B. Mitra;;SASO;2012;;;
;Gradient-Based Self-Organisation Patterns of Anticipative Adaptation;S. Montagna, D. Pianini and M. Viroli;;SASO;2012;;;
;Modelling Situated Action Based on Affordances and Stigmergy;Z. Afoutni, F. Guerrin and R. Courdier;;SASO;2012;;;
;Mutational Analysis-Inspired Algorithms for Cells Self-Organization towards a Dynamic under Viability Constraints;A. Fronville, A. Sarr, P. Ballet and V. Rodin;;SASO;2012;;;
;Fast Precise Distributed Control for Energy Demand Management;J. Beal, J. Berliner and K. Hunter;;SASO;2012;;;
;Collective Self-Tuning for Complex Product Design;E. Kaddoum and J. Georgé;;SASO;2012;;;
;Augmenting the Repertoire of Design Patterns for Self-Organized Software by Reverse Engineering a Bio-Inspired P2P System;P. L. Snyder, G. Valetto, J. L. Fernandez-Marquez and G. D. M. Serugendo;;SASO;2012;;;
;Modeling Adaptative Social Behavior in Collective Problem Solving Algorithms;D. Noble, L. Lamb and R. Araújo;;SASO;2012;;;
;Collective Attention through Public Displays;A. Ferscha, K. Zia and B. Gollan;;SASO;2012;;;
;SOCIAL: A Self-Organized Entropy-Based Algorithm for Identifying Communities in Networks;B. Collingsworth and R. Menezes;;SASO;2012;;;
;An Adaptive Multi-Agent System for Integrative Multidisciplinary Design Optimization;T. Jorquera, J. Georgé and C. Régis;;SASO;2012;;;
;Animation of Self-Organising Resource Allocation Using Presage2;S. Macbeth, J. Pitt, J. Schaumeier and D. Busquets;;SASO;2012;;;
;Maintaining Spatial Relationships in Uncertain Environments;N. Jamali and A. Keela;;SASO;2012;;;
;Hemis: Hybrid Multi-agent Architecture for Energy Management and Home Automation;M. Saber, W. Nicolas, L. Olivier and M. Sebastien;;SASO;2012;;;
;RinSim: A Simulator for Collective Adaptive Systems in Transportation and Logistics;R. R. S. van Lon and T. Holvoet;;SASO;2012;;;
;elf-Stabilizing Robot Team Formation with Proto: IEEE Self-Adaptive and Self-Organizing Systems 2012 Demo Entry;J. Beal, J. Cleveland and K. Usbeck;;SASO;2012;;;
;Automatic Self-Adaptation to Mitigate Software Vulnerabilities: A Fuzzbuster Progress Report (Extended Abstract for Poster);D. J. Musliner, J. M. Rye, T. Woods, T. Marble and K. Raison;;SASO;2012;;;
;Architectural Styles for Adaptive Systems: A Tutorial;L. Baresi and S. Guinea;;SASO;2012;;;
;Engineering Organised Adaptation: A Tutorial;J. Pitt and A. Artikis;;SASO;2012;;;
;Metaheuristic Algorithms for Self-Organizing Systems: A Tutorial;X. -S. Yang;;SASO;2012;;;
;Computing Contingent Plan Graphs using Online Planning;Shlomi Maliah, Radimir Komarnitski, and Guy Shani;;TAAS;2021;;;
;Gist Trace-based Learning: Efficient Convention Emergence from Multilateral Interactions;Shuyue Hu, Chin-Wing Leung, Ho-Fung Leung, and Jiamou Liu;;TAAS;2021;;;
;A Flexible Framework for Diverse Multi-Robot Task Allocation Scenarios Including Multi-Tasking;Muhammad Usman Arif and Sajjad Haider;;TAAS;2021;;;
;Dynamic Evaluation of Microservice Granularity Adaptation;Sara Hassan, Rami Bahsoon, Leandro Minku, and Nour Ali;;TAAS;2021;;;
;Loosening Control—A Hybrid Approach to Controlling Heterogeneous Swarms;Lukas Esterle and David W. King;;TAAS;2021;;;
;An Autonomous System for Efficient Control of PTZ Cameras;Sina G. Davani, Musab S. Al-Hadrusi, and Nabil J. Sarhan;;TAAS;2021;;;
;PSINES: Activity and Availability Prediction for Adaptive Ambient Intelligence;Julien Cumin, Grégoire Lefebvre, Fano Ramparany, and James L. Crowley;;TAAS;2020;;;
;SecRET: Secure Range-based Localization with Evidence Theory for Underwater Sensor Networks;Sudip Misra, Tamoghna Ojha, and Madhusoodhanan P;;TAAS;2020;;;
;Information Reuse and Stochastic Search: Managing Uncertainty in Self-* Systems;Cody Kinneer, David Garlan, and Claire Le Goues;;TAAS;2020;;;
;A Q-values Sharing Framework for Multi-agent Reinforcement Learning under Budget Constraint;Changxi Zhu, Ho-Fung Leung, Shuyue Hu, and Yi Cai.;;TAAS;2020;;;
;Enki: A Diversity-driven Approach to Test and Train Robust Learning-enabled Systems;Michael Austin Langford and Betty H. C. Cheng;;TAAS;2020;;;
;SARDE: A Framework for Continuous and Self-Adaptive Resource Demand Estimation;Johannes Grohmann, Simon Eismann, André Bauer, Simon Spinner, Johannes Blum, Nikolas Herbst, and Samuel Kounev;;TAAS;2020;;;
;Resilient Team Formation with Stabilisability of Agent Networks for Task Allocation;Jose Barambones, Florian Richoux, Ricardo Imbert, and Katsumi Inoue;;TAAS;2020;;;
;Optimizing the Performance of Containerized Cloud Software Systems Using Adaptive PID Controllers;Mikael Sabuhi, Nima Mahmoudi, and Hamzeh Khazaei;;TAAS;2020;;;
;Applying Machine Learning in Self-adaptive Systems: A Systematic Literature Review;Omid Gheibi, Danny Weyns, and Federico Quin;;TAAS;2020;;;
;Uncertainty in Self-adaptive Systems: A Research Community Perspective;Sara M. Hezavehi, Danny Weyns, Paris Avgeriou, Radu Calinescu, Raffaela Mirandola, and Diego Perez-Palacin;;TAAS;2020;;;
;Behavioural Plasticity Can Help Evolving Agents in Dynamic Environments but at the Cost of Volatility;Chloe M. Barnes, Anikó Ekárt, Kai Olav Ellefsen, Kyrre Glette, Peter R. Lewis, and Jim Tørresen;;TAAS;2020;;;
;REACT-ION: A Model-based Runtime Environment for Situation-aware Adaptations;Martin Pfannemüller, Martin Breitbach, Markus Weckesser, Christian Becker, Bradley Schmerl, Andy Schürr, and Christian Krupitzer;;TAAS;2020;;;
;AT-DIFC+: Toward Adaptive and Trust-Aware Decentralized Information Flow Control;Charilaos Skandylas, Narges Khakpour, and Jesper Andersson;;TAAS;2020;;;
;Reconfigurable Embedded Devices Using Reinforcement Learning to Develop Action Policies;Alwyn Burger, Gregor Schiele, and David W. King;;TAAS;2020;;;
;Knowledge Management for Self-Organised Resource Allocation;David Burth Kurka, Jeremy Pitt, and Josiah Ober;;TAAS;2019;;;
;Designing Robot Teams for Distributed Construction, Repair, and Maintenance;Todd Wareham;;TAAS;2019;;;
;Runtime Monitoring and Resolution of Probabilistic Obstacles to System Goals;Antoine Cailliau and Axel Van Lamsweerde;;TAAS;2019;;;
;Mutual Influence-aware Runtime Learning of Self-adaptation Behavior;Stefan Rudolph, Sven Tomforde, and Jörg Hähner;;TAAS;2019;;;
;Self-awareness in Software Engineering: A Systematic Literature Review;Abdessalam Elhabbash, Maria Salama, Rami Bahsoon, and Peter Tino;;TAAS;2019;;;
;Collective Adaptation through Multi-Agents Ensembles: The Case of Smart Urban Mobility;Antonio Bucchiarone;;TAAS;2019;;;
;Supporting Dynamic Workflows with Automatic Extraction of Goals from BPMN;Luca Sabatucci and Massimo Cossentino;;TAAS;2019;;;
;ontrolling Interactions with Libraries in Android Apps Through Runtime Enforcement;Oliviero Riganelli, Daniela Micucci, and Leonardo Mariani;;TAAS;2019;;;
;Argumentation-Based Reasoning about Plans, Maintenance Goals, and Norms;Zohreh Shams, Marina De Vos, Nir Oren, and Julian Padget;;TAAS;2019;;;
;Human-centric Data Dissemination in the IoP: Large-scale Modeling and Evaluation;Matteo Mordacchini, Marco Conti, Andrea Passarella, and Raffaele Bruno;;TAAS;2019;;;
;A Bike-sharing Optimization Framework Combining Dynamic Rebalancing and User Incentives;Federico Chiariotti, Chiara Pielli, Andrea Zanella, and Michele Zorzi;;TAAS;2019;;;
;Improving Scalability and Reward of Utility-Driven Self-Healing for Large Dynamic Architectures;Sona Ghahremani, Holger Giese, and Thomas Vogel;;TAAS;2019;;;
;UAVs vs. Pirates: An Anticipatory Swarm Monitoring Method Using an Adaptive Pheromone Map;Ruiwen Zhang, Tom Holvoet, Bifeng Song, and Yang Pei;;TAAS;2019;;;
;Human Feedback as Action Assignment in Interactive Reinforcement Learning;Syed Ali Raza and Mary-Anne Williams;;TAAS;2019;;;
;Finding the Largest Successful Coalition under the Strict Goal Preferences of Agents;Zhaopin Su, Guofu Zhang, Feng Yue, Jindong He, Miqing Li, Bin Li, and Xin Yao;;TAAS;2019;;;
;Engineering Self-Adaptive Software Systems: From Requirements to Model Predictive Control;Konstantinos Angelopoulos, Alessandro V. Papadopoulos, Vítor E. Silva Souza, and John Mylopoulos;;TAAS;2018;;;
;Effective Capacity Modulation as an Explicit Control Knob for Public Cloud Profitability;Cheng Wang, Bhuvan Urgaonkar, George Kesidis, Aayush Gupta, Lydia Y. Chen, and Robert Birke;;TAAS;2018;;;
;Flexible and Efficient Decision-Making for Proactive Latency-Aware Self-Adaptation;Gabriel A. Moreno, Javier Cámara, David Garlan, and Bradley Schmerl;;TAAS;2018;;;
;Model-Based Response Planning Strategies for Autonomic Intrusion Protection;Stefano Iannucci and Sherif Abdelwahed;;TAAS;2018;;;
;Viable Algorithmic Options for Designing Reactive Robot Swarms;Todd Wareham and Andrew Vardy;;TAAS;2018;;;
;Adaptive Opportunistic Airborne Sensor Sharing;Jacob Beal, Kyle Usbeck, Joseph Loyall, Mason Rowe, and James Metzler;;TAAS;2018;;;
;Self-Organizing Control Mechanism Based on Collective Decision-Making for Information Uncertainty;Naomi Kuze, Daichi Kominami, Kenji Kashima, Tomoaki Hashimoto, and Masayuki Murata;;TAAS;2018;;;
;Understanding Crowdsourcing Systems from a Multiagent Perspective and Approach;Jiuchuan Jiang, Bo An, Yichuan Jiang, Donghui Lin, Zhan Bu, Jie Cao, and Zhifeng Hao;;TAAS;2018;;;
;Adaptive Process Migrations in Coupled Applications for Exchanging Data in Local File Cache;Jianwei Liao, Zhigang Cai, Francois Trahay, Jun Zhou, and Guoqiang Xiao;;TAAS;2018;;;
;Decentralized Collective Learning for Self-managed Sharing Economies;Evangelos Pournaras, Peter Pilgerstorfer, and Thomas Asikis;;TAAS;2018;;;
;SDN Flow Entry Management Using Reinforcement Learning;Ting-Yu Mu, Ala Al-Fuqaha, Khaled Shuaib, Farag M. Sallabi, and Junaid Qadir;;TAAS;2018;;;
;SOD: Making Smartphone Smart on Demand with Radio Interface Management;Marco Brocanelli and Xiaorui Wang;;TAAS;2018;;;
;Improving Data-Analytics Performance Via Autonomic Control of Concurrency and Resource Units;Gil Jae Lee and José A. B. Fortes;;TAAS;2018;;;
;Probabilistic Policy Reuse for Safe Reinforcement Learning;Javier García and Fernando Fernández;;TAAS;2018;;;
;Adaptive Behavior Modeling in Logistic Systems with Agents and Dynamic Graphs;Thibaut Démare, Cyrille Bertelle, Antoine Dutot, and Dominique Fournier;;TAAS;2018;;;
;TSLAM: A Trust-enabled Self-Learning Agent Model for Service Matching in the Cloud Market;Wenjuan Li, Jian Cao, Shiyou Qian, and Rajkumar Buyya;;TAAS;2018;;;
;SimCA*: A Control-theoretic Approach to Handle Uncertainty in Self-adaptive Systems with Guarantees;Stepan Shevtsov, Danny Weyns, and Martina Maggio;;TAAS;2018;;;
